Example_Index,Loss
1181,5.895541191101074
1182,5.860344409942627
1183,5.814039707183838
1184,5.796045780181885
1185,5.712960720062256
1186,5.841272830963135
1187,5.583442687988281
1188,5.700038909912109
1189,5.737854957580566
1190,5.680838584899902
1191,5.674164772033691
1192,5.677032947540283
1193,5.635158061981201
1194,5.554371356964111
1195,5.58147668838501
1196,5.6247453689575195
1197,5.512078285217285
1198,5.484504222869873
1199,5.451651096343994
1200,5.6062397956848145
1201,5.618406772613525
1202,5.796019077301025
1203,5.705958843231201
1204,5.764009952545166
1205,5.612121105194092
1206,5.583759307861328
1207,5.6945576667785645
1208,5.613834381103516
1209,5.682672023773193
1210,5.627549648284912
1211,5.671010971069336
1212,5.801588535308838
1213,5.874993801116943
1214,5.933627605438232
1215,5.980898857116699
1216,5.849117279052734
1217,5.86544132232666
1218,5.933184623718262
1219,6.021772384643555
1220,5.995178699493408
1221,5.990511894226074
1222,5.915165424346924
1223,6.10990571975708
1224,6.168741703033447
1225,6.1990251541137695
1226,6.27221155166626
1227,6.210568904876709
1228,6.163756370544434
1229,6.198171615600586
1230,6.131710052490234
1231,6.092676639556885
1232,6.105539321899414
1233,5.9745378494262695
1234,6.022102355957031
1235,6.016589164733887
1236,5.991566181182861
1237,5.86111307144165
1238,5.824164867401123
1239,5.791765213012695
1240,5.844623565673828
1241,5.712064743041992
1242,5.837361812591553
1243,5.654719829559326
1244,5.653774261474609
1245,5.650711536407471
1246,5.694694995880127
1247,5.722648620605469
1248,5.7214131355285645
1249,5.644786834716797
1250,5.5974602699279785
1251,5.556055545806885
1252,5.620728969573975
1253,5.597412586212158
1254,5.766103267669678
1255,5.69533109664917
1256,5.617452621459961
1257,5.5611252784729
1258,5.559746265411377
1259,5.743409156799316
1260,5.7934041023254395
1261,5.854860782623291
1262,5.783390998840332
1263,5.922140121459961
1264,5.896233081817627
1265,5.79946756362915
1266,5.721728324890137
1267,5.6979756355285645
1268,5.6996541023254395
1269,5.765872478485107
1270,5.739407062530518
1271,5.818723201751709
1272,5.825035095214844
1273,5.778285026550293
1274,5.847688674926758
1275,5.689361095428467
1276,5.676166534423828
1277,5.700251579284668
1278,5.715001106262207
1279,5.668938636779785
1280,5.836009502410889
1281,5.908502578735352
1282,5.796125411987305
1283,5.761291027069092
1284,5.754262447357178
1285,5.69548225402832
1286,5.712907791137695
1287,5.602763652801514
1288,5.557992935180664
1289,5.459940433502197
1290,5.413500785827637
1291,5.349784851074219
1292,5.391885280609131
1293,5.389427185058594
1294,5.335690975189209
1295,5.368282318115234
1296,5.528807163238525
1297,5.551798343658447
1298,5.603811264038086
1299,5.416939735412598
1300,5.451808929443359
1301,5.370080471038818
1302,5.410547256469727
1303,5.446977615356445
1304,5.432857036590576
1305,5.363890171051025
1306,5.240108013153076
1307,5.361256122589111
1308,5.336047649383545
1309,5.286004543304443
1310,5.286180019378662
1311,5.387218475341797
1312,5.506923675537109
1313,5.484694480895996
1314,5.602624416351318
1315,5.720083236694336
1316,5.551952838897705
1317,5.5216169357299805
1318,5.532793998718262
1319,5.510997295379639
1320,5.590259552001953
1321,5.548904895782471
1322,5.643468379974365
1323,5.519747734069824
1324,5.52221155166626
1325,5.415183067321777
1326,5.367305278778076
1327,5.3104963302612305
1328,5.2667927742004395
1329,5.35227632522583
1330,5.337042808532715
